                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84974,                 2.6133,                 1.3118,                0.61001,                0.57002,                0.61577,                0.45844,                0.83701,                 2.3308,                 1.2194,             0.00041426,             0.00041426,             0.00041426
                      2,                0.80603,                 1.7001,                 1.2358,                0.79571,                0.58631,                0.70347,                0.50968,                0.92906,                 1.8338,                 1.2756,             0.00074866,             0.00074866,             0.00074866
                      3,                0.80542,                 1.3423,                 1.2417,                0.55821,                 0.7492,                0.71474,                0.53352,                0.86305,                 1.6755,                  1.253,              0.0010006,              0.0010006,              0.0010006
                      4,                0.75656,                 1.1224,                 1.1957,                0.79425,                0.78141,                0.80911,                0.64668,                0.74143,                 1.0848,                 1.1038,             0.00087875,             0.00087875,             0.00087875
                      5,                0.68469,                0.94192,                 1.1435,                0.86669,                0.75256,                 0.8213,                0.67574,                0.69823,                 1.0266,                 1.0813,               0.000755,               0.000755,               0.000755
                      6,                0.59858,                0.78769,                 1.0822,                0.82118,                0.81959,                0.86983,                 0.7336,                0.59478,                0.82805,                0.99486,             0.00063125,             0.00063125,             0.00063125
                      7,                0.55255,                0.70012,                 1.0589,                 0.8424,                0.82608,                0.87695,                0.75525,                0.54755,                0.75279,                 0.9538,              0.0005075,              0.0005075,              0.0005075
                      8,                0.51145,                0.64773,                 1.0278,                0.86381,                0.86587,                0.89588,                0.78089,                0.53561,                0.66335,                0.95769,             0.00038375,             0.00038375,             0.00038375
                      9,                0.45754,                0.57571,                0.98879,                0.86724,                0.86619,                0.89748,                0.79709,                0.48958,                0.61772,                0.93309,                0.00026,                0.00026,                0.00026
                     10,                0.42464,                0.53206,                0.97255,                0.87471,                 0.8719,                0.90291,                0.81301,                0.44218,                0.56892,                0.89396,             0.00013625,             0.00013625,             0.00013625
