                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83429,                  2.363,                 1.0842,                0.83349,                0.63829,                0.70298,                0.58989,                 0.6444,                 1.6359,                0.92667,             0.00041358,             0.00041358,             0.00041358
                      2,                0.85724,                 1.4031,                 1.0513,                0.91878,                0.66376,                0.71265,                0.55148,                 0.7697,                 1.2615,                0.95902,             0.00074805,             0.00074805,             0.00074805
                      3,                0.86281,                 1.0786,                 1.0607,                0.96108,                0.69737,                0.76594,                  0.623,                0.67973,                0.82697,                0.92514,                  0.001,                  0.001,                  0.001
                      4,                0.81454,                0.80735,                 1.0345,                0.95937,                0.72735,                0.78351,                0.65276,                0.64339,                0.66345,                0.90703,             0.00087875,             0.00087875,             0.00087875
                      5,                0.77474,                0.64226,                 1.0066,                0.72288,                0.87061,                0.79483,                0.64422,                0.64976,                0.52722,                0.91064,               0.000755,               0.000755,               0.000755
                      6,                0.73453,                0.55944,                0.98843,                0.92623,                0.87061,                0.88202,                0.74212,                0.70646,                0.50457,                0.92547,             0.00063125,             0.00063125,             0.00063125
                      7,                 0.7045,                0.50313,                 0.9689,                0.80212,                0.86184,                 0.8903,                0.75494,                0.65513,                0.47598,                0.89757,              0.0005075,              0.0005075,              0.0005075
                      8,                0.67906,                0.45716,                0.95541,                0.82608,                0.80811,                0.86685,                0.74186,                0.60384,                0.40443,                 0.8872,             0.00038375,             0.00038375,             0.00038375
                      9,                0.63861,                 0.4039,                0.93733,                0.86557,                  0.861,                0.84522,                0.74601,                0.56407,                0.40009,                0.86889,                0.00026,                0.00026,                0.00026
                     10,                0.61303,                0.37626,                0.92248,                 0.9328,                0.80811,                0.85626,                0.75824,                0.56692,                 0.3669,                0.86861,             0.00013625,             0.00013625,             0.00013625
